Nama,Alamat,No HP,Jenis Zakat,Jumlah (Rp),Tanggal Pembayaran
Talia Nuraini,"Gg. Setiabudhi No. 941, Semarang, Kalimantan Selatan 23047",(017) 785 5535,Zakat Mal,288881.47,2024-11-30
Paris Novitasari,"Gg. Surapati No. 53, Cilegon, BT 15239",+62 (39) 485 7576,Zakat Pertanian,659563.28,2024-09-09
Jelita Widiastuti,"Gg. Gardujati No. 817, Padangpanjang, SR 81436",+62-830-162-4048,Zakat Fitrah,571854.96,2024-09-09
Pranata Dabukke,"Gg. Gardujati No. 65, Bau-Bau, Nusa Tenggara Barat 00751",+62-18-700-0887,Zakat Perdagangan,250136.77,2024-08-09
"KH. Karsana Rajata, M.Kom.","Jalan R.E Martadinata No. 746, Ambon, SN 83941",+62 (071) 410 2919,Zakat Pertanian,431190.77,2023-12-21
"drg. Lili Prasasta, S.Kom","Jalan Pacuan Kuda No. 589, Pariaman, Sumatera Selatan 21837",(0938) 501 0875,Zakat Emas/Perak,373692.6,2024-09-17
"Salimah Sitompul, S.Ked","Gg. Otto Iskandardinata No. 2, Padang Sidempuan, Sumatera Barat 49950",(045) 660-2365,Zakat Mal,897446.21,2025-03-11
"Bakiadi Fujiati, S.Psi","Gang Joyoboyo No. 06, Subulussalam, BB 18557",+62-039-444-7446,Zakat Mal,239780.23,2024-05-19
Dr. Cakrabuana Hutasoit,"Jalan Ciumbuleuit No. 6, Kota Administrasi Jakarta Selatan, MA 03935",+62 (527) 479-7170,Zakat Mal,965880,2024-06-02
Dewi Winarno,"Jl. Abdul Muis No. 6, Salatiga, KI 24609",+62-078-115-9123,Zakat Penghasilan,940666.11,2024-04-23
Darijan Hartati,"Jalan W.R. Supratman No. 6, Tanjungpinang, SS 50265",(0997) 945-7499,Zakat Perdagangan,394773.2,2023-09-01
Ir. Cahyo Setiawan,"Jalan Pasirkoja No. 36, Tidore Kepulauan, PB 86362",(036) 452-4433,Zakat Mal,977231.74,2023-09-27
Tgk. Gilda Latupono,"Jl. Stasiun Wonokromo No. 8, Bandung, BB 72593",083 651 1344,Zakat Pertanian,497518.72,2023-05-24
Oman Irawan,"Gang Dipatiukur No. 056, Tasikmalaya, KT 57627",+62 (039) 444-2296,Zakat Perdagangan,381056.79,2023-12-07
Dalimin Handayani,"Gang Pasteur No. 394, Batu, KU 40809",+62-276-045-5486,Zakat Fitrah,59481.95,2024-06-04
"Amelia Nuraini, S.Kom","Gg. W.R. Supratman No. 4, Pekanbaru, JA 20686",+62 (848) 199 0031,Zakat Emas/Perak,738302.75,2024-11-09
Hj. Natalia Sihotang,"Gang Rajawali Timur No. 644, Bau-Bau, Kalimantan Barat 79724",0862994391,Zakat Pertanian,925078.22,2025-04-20
Warsita Winarno,"Jalan Rumah Sakit No. 2, Mataram, NT 70457",+62 (737) 150-4949,Zakat Emas/Perak,138949.87,2025-01-31
Bakiono Firgantoro,"Gg. M.T Haryono No. 55, Tegal, Maluku Utara 31030",+62 (28) 015 4765,Zakat Emas/Perak,821865.73,2023-12-02
"R. Balangga Maryadi, S.Pd","Gg. Ahmad Dahlan No. 172, Kediri, NT 93298",089 160 5761,Zakat Mal,833587.41,2024-05-17
Asmianto Manullang,"Gg. Kutai No. 6, Bukittinggi, BA 89064",+62 (43) 801 1123,Zakat Mal,156469.49,2025-03-09
Ayu Nasyidah,"Jl. Kendalsari No. 143, Tangerang, RI 08137",(007) 735-8986,Zakat Perdagangan,976747.95,2024-11-04
"Tgk. Okta Sinaga, M.M.","Gang Cempaka No. 2, Semarang, Jambi 86721",+62-257-216-7385,Zakat Emas/Perak,844150.48,2024-08-05
Julia Pangestu,"Gg. R.E Martadinata No. 299, Samarinda, Kalimantan Tengah 98677",+62 (089) 456-4722,Zakat Fitrah,523095.37,2023-07-22
Icha Mansur,"Gg. Erlangga No. 3, Depok, Sulawesi Selatan 56871",+62 (0670) 204 2876,Zakat Mal,677229.9,2024-06-05
"Mulyono Manullang, S.E.I","Jalan M.T Haryono No. 632, Serang, Kalimantan Utara 32322",(0401) 493 6594,Zakat Emas/Perak,365772.98,2024-12-24
Dr. Vanya Prasasta,"Jalan S. Parman No. 59, Bau-Bau, Papua 88714",(001) 284-1311,Zakat Penghasilan,708093.16,2024-01-23
Kemba Kuswoyo,"Gg. Siliwangi No. 2, Parepare, Kalimantan Utara 41833",+62-0890-043-4538,Zakat Mal,668966.66,2023-11-04
Harsaya Oktaviani,"Gang Moch. Toha No. 276, Pematangsiantar, Bengkulu 25226",+62 (003) 203 1490,Zakat Pertanian,970503.85,2024-01-23
Karna Sudiati,"Gg. Ir. H. Djuanda No. 1, Pasuruan, LA 46957",(0212) 742-5895,Zakat Emas/Perak,416364.35,2024-11-02
"Tgk. Ajeng Lestari, S.Kom","Gg. Cihampelas No. 337, Batu, Kepulauan Bangka Belitung 90996",+62-792-217-3693,Zakat Pertanian,225471.36,2024-08-31
Amelia Rajasa,"Gg. W.R. Supratman No. 41, Sabang, Kalimantan Selatan 89516",+62 (408) 867-8154,Zakat Perdagangan,718960.63,2024-01-03
Jumadi Setiawan,"Gg. Kutisari Selatan No. 529, Tangerang, Sumatera Utara 95064",(0750) 707-6815,Zakat Mal,141883.88,2024-09-16
Samsul Kusumo,"Jalan Siliwangi No. 274, Lhokseumawe, Kalimantan Barat 37156",+62 (0756) 739-3125,Zakat Fitrah,284731.59,2025-02-20
"R. Ellis Kusumo, M.Pd","Gang KH Amin Jasuta No. 3, Kupang, KU 06293",+62 (263) 578 3680,Zakat Perdagangan,206925.17,2024-10-30
"Gamanto Hakim, M.Pd","Jl. Yos Sudarso No. 860, Kota Administrasi Jakarta Barat, Sulawesi Selatan 02788",(0573) 007 5718,Zakat Perdagangan,479060.12,2024-10-13
Tgk. Yusuf Sihombing,"Gang H.J Maemunah No. 578, Jayapura, Jambi 66155",+62 (289) 982 8825,Zakat Fitrah,32292.28,2024-12-05
"Puji Maryadi, S.Psi","Jalan Pasir Koja No. 185, Tanjungpinang, DKI Jakarta 67629",+62 (090) 476-7488,Zakat Penghasilan,227394.66,2025-04-08
"Vino Marbun, M.Kom.","Gang Moch. Ramdan No. 59, Manado, JI 61249",0849503863,Zakat Fitrah,728349.61,2024-05-07
KH. Kayun Suwarno,"Gang Jamika No. 547, Meulaboh, JK 15184",(0249) 641 0625,Zakat Emas/Perak,28183.57,2024-01-18
Irsad Kurniawan,"Gang Sentot Alibasa No. 59, Tebingtinggi, BB 98309",+62 (86) 881 2788,Zakat Penghasilan,117177.5,2024-07-29
Nyoman Tampubolon,"Jl. Cihampelas No. 196, Kota Administrasi Jakarta Utara, SB 25351",+62 (0543) 145 1252,Zakat Perdagangan,152462.1,2024-04-28
Capa Agustina,"Gang Dr. Djunjunan No. 6, Bandar Lampung, KS 11483",(0423) 507 2010,Zakat Emas/Perak,627630.23,2024-04-18
"R.A. Febi Haryanti, M.M.","Jalan Jakarta No. 16, Kota Administrasi Jakarta Pusat, Jawa Barat 57218",+62 (918) 784 3033,Zakat Mal,335349.53,2023-12-28
Sakti Winarno,"Gg. Kiaracondong No. 6, Pematangsiantar, Banten 58092",+62-58-000-1078,Zakat Mal,838684.42,2023-09-11
"Rosman Prasasta, S.Gz","Jl. Siliwangi No. 58, Padang Sidempuan, JB 03044",0859600536,Zakat Emas/Perak,412903.84,2023-05-26
"Labuh Wacana, S.E.I","Gg. Rungkut Industri No. 8, Subulussalam, YO 12566",(0430) 638 6662,Zakat Pertanian,498099.61,2024-12-05
Paris Nasyidah,"Jalan Bangka Raya No. 6, Batu, Papua Barat 84475",+62-0677-344-3545,Zakat Mal,891828.86,2024-02-26
"Puti Alika Mustofa, S.IP","Gang R.E Martadinata No. 3, Salatiga, Sulawesi Barat 06065",+62 (079) 037 0967,Zakat Penghasilan,554402.74,2024-10-26
