Nama,Alamat,No HP,Jenis Zakat,Jumlah (Rp),Tanggal Pembayaran
TALIA NURAINI,"Gg. Setiabudhi No. 941, Semarang, Kalimantan Selatan 23047",(017) 785 5535,Zakat Mal,317769.617,2024-11-30
PARIS NOVITASARI,"Gg. Surapati No. 53, Cilegon, BT 15239",+62 (39) 485 7576,Zakat Pertanian,725519.6080000001,2024-09-09
JELITA WIDIASTUTI,"Gg. Gardujati No. 817, Padangpanjang, SR 81436",+62-830-162-4048,Zakat Fitrah,629040.456,2024-09-09
PRANATA DABUKKE,"Gg. Gardujati No. 65, Bau-Bau, Nusa Tenggara Barat 00751",+62-18-700-0887,Zakat Perdagangan,275150.447,2024-08-09
"KH. KARSANA RAJATA, M.KOM.","Jalan R.E Martadinata No. 746, Ambon, SN 83941",+62 (071) 410 2919,Zakat Pertanian,474309.84700000007,2023-12-21
"DRG. LILI PRASASTA, S.KOM","Jalan Pacuan Kuda No. 589, Pariaman, Sumatera Selatan 21837",(0938) 501 0875,Zakat Emas/Perak,411061.86,2024-09-17
"SALIMAH SITOMPUL, S.KED","Gg. Otto Iskandardinata No. 2, Padang Sidempuan, Sumatera Barat 49950",(045) 660-2365,Zakat Mal,987190.831,2025-03-11
"BAKIADI FUJIATI, S.PSI","Gang Joyoboyo No. 06, Subulussalam, BB 18557",+62-039-444-7446,Zakat Mal,263758.253,2024-05-19
DR. CAKRABUANA HUTASOIT,"Jalan Ciumbuleuit No. 6, Kota Administrasi Jakarta Selatan, MA 03935",+62 (527) 479-7170,Zakat Mal,1062468.0,2024-06-02
DEWI WINARNO,"Jl. Abdul Muis No. 6, Salatiga, KI 24609",+62-078-115-9123,Zakat Penghasilan,1034732.721,2024-04-23
DARIJAN HARTATI,"Jalan W.R. Supratman No. 6, Tanjungpinang, SS 50265",(0997) 945-7499,Zakat Perdagangan,434250.5200000001,2023-09-01
IR. CAHYO SETIAWAN,"Jalan Pasirkoja No. 36, Tidore Kepulauan, PB 86362",(036) 452-4433,Zakat Mal,1074954.914,2023-09-27
TGK. GILDA LATUPONO,"Jl. Stasiun Wonokromo No. 8, Bandung, BB 72593",083 651 1344,Zakat Pertanian,547270.5920000001,2023-05-24
OMAN IRAWAN,"Gang Dipatiukur No. 056, Tasikmalaya, KT 57627",+62 (039) 444-2296,Zakat Perdagangan,419162.469,2023-12-07
DALIMIN HANDAYANI,"Gang Pasteur No. 394, Batu, KU 40809",+62-276-045-5486,Zakat Fitrah,65430.145,2024-06-04
"AMELIA NURAINI, S.KOM","Gg. W.R. Supratman No. 4, Pekanbaru, JA 20686",+62 (848) 199 0031,Zakat Emas/Perak,812133.025,2024-11-09
HJ. NATALIA SIHOTANG,"Gang Rajawali Timur No. 644, Bau-Bau, Kalimantan Barat 79724",0862994391,Zakat Pertanian,1017586.042,2025-04-20
WARSITA WINARNO,"Jalan Rumah Sakit No. 2, Mataram, NT 70457",+62 (737) 150-4949,Zakat Emas/Perak,152844.85700000002,2025-01-31
BAKIONO FIRGANTORO,"Gg. M.T Haryono No. 55, Tegal, Maluku Utara 31030",+62 (28) 015 4765,Zakat Emas/Perak,904052.303,2023-12-02
"R. BALANGGA MARYADI, S.PD","Gg. Ahmad Dahlan No. 172, Kediri, NT 93298",089 160 5761,Zakat Mal,916946.151,2024-05-17
ASMIANTO MANULLANG,"Gg. Kutai No. 6, Bukittinggi, BA 89064",+62 (43) 801 1123,Zakat Mal,172116.439,2025-03-09
AYU NASYIDAH,"Jl. Kendalsari No. 143, Tangerang, RI 08137",(007) 735-8986,Zakat Perdagangan,1074422.745,2024-11-04
"TGK. OKTA SINAGA, M.M.","Gang Cempaka No. 2, Semarang, Jambi 86721",+62-257-216-7385,Zakat Emas/Perak,928565.528,2024-08-05
JULIA PANGESTU,"Gg. R.E Martadinata No. 299, Samarinda, Kalimantan Tengah 98677",+62 (089) 456-4722,Zakat Fitrah,575404.907,2023-07-22
ICHA MANSUR,"Gg. Erlangga No. 3, Depok, Sulawesi Selatan 56871",+62 (0670) 204 2876,Zakat Mal,744952.8900000001,2024-06-05
"MULYONO MANULLANG, S.E.I","Jalan M.T Haryono No. 632, Serang, Kalimantan Utara 32322",(0401) 493 6594,Zakat Emas/Perak,402350.278,2024-12-24
DR. VANYA PRASASTA,"Jalan S. Parman No. 59, Bau-Bau, Papua 88714",(001) 284-1311,Zakat Penghasilan,778902.4760000001,2024-01-23
KEMBA KUSWOYO,"Gg. Siliwangi No. 2, Parepare, Kalimantan Utara 41833",+62-0890-043-4538,Zakat Mal,735863.3260000001,2023-11-04
HARSAYA OKTAVIANI,"Gang Moch. Toha No. 276, Pematangsiantar, Bengkulu 25226",+62 (003) 203 1490,Zakat Pertanian,1067554.235,2024-01-23
KARNA SUDIATI,"Gg. Ir. H. Djuanda No. 1, Pasuruan, LA 46957",(0212) 742-5895,Zakat Emas/Perak,458000.785,2024-11-02
"TGK. AJENG LESTARI, S.KOM","Gg. Cihampelas No. 337, Batu, Kepulauan Bangka Belitung 90996",+62-792-217-3693,Zakat Pertanian,248018.496,2024-08-31
AMELIA RAJASA,"Gg. W.R. Supratman No. 41, Sabang, Kalimantan Selatan 89516",+62 (408) 867-8154,Zakat Perdagangan,790856.6930000001,2024-01-03
JUMADI SETIAWAN,"Gg. Kutisari Selatan No. 529, Tangerang, Sumatera Utara 95064",(0750) 707-6815,Zakat Mal,156072.268,2024-09-16
SAMSUL KUSUMO,"Jalan Siliwangi No. 274, Lhokseumawe, Kalimantan Barat 37156",+62 (0756) 739-3125,Zakat Fitrah,313204.74900000007,2025-02-20
"R. ELLIS KUSUMO, M.PD","Gang KH Amin Jasuta No. 3, Kupang, KU 06293",+62 (263) 578 3680,Zakat Perdagangan,227617.68700000003,2024-10-30
