Nama,Alamat,No HP,Jenis Zakat,Jumlah (Rp),Tanggal Pembayaran
TALIA NURAINI,"Gg. Setiabudhi No. 941, Semarang, Kalimantan Selatan 23047",(017) 785 5535,Zakat Mal,349546.5787000001,2024-11-30
PARIS NOVITASARI,"Gg. Surapati No. 53, Cilegon, BT 15239",+62 (39) 485 7576,Zakat Pertanian,798071.5688000002,2024-09-09
JELITA WIDIASTUTI,"Gg. Gardujati No. 817, Padangpanjang, SR 81436",+62-830-162-4048,Zakat Fitrah,691944.5016000001,2024-09-09
PRANATA DABUKKE,"Gg. Gardujati No. 65, Bau-Bau, Nusa Tenggara Barat 00751",+62-18-700-0887,Zakat Perdagangan,302665.4917,2024-08-09
"KH. KARSANA RAJATA, M.KOM.","Jalan R.E Martadinata No. 746, Ambon, SN 83941",+62 (071) 410 2919,Zakat Pertanian,521740.8317000001,2023-12-21
"DRG. LILI PRASASTA, S.KOM","Jalan Pacuan Kuda No. 589, Pariaman, Sumatera Selatan 21837",(0938) 501 0875,Zakat Emas/Perak,452168.04600000003,2024-09-17
"SALIMAH SITOMPUL, S.KED","Gg. Otto Iskandardinata No. 2, Padang Sidempuan, Sumatera Barat 49950",(045) 660-2365,Zakat Mal,1085909.9141000002,2025-03-11
"BAKIADI FUJIATI, S.PSI","Gang Joyoboyo No. 06, Subulussalam, BB 18557",+62-039-444-7446,Zakat Mal,290134.07830000005,2024-05-19
DR. CAKRABUANA HUTASOIT,"Jalan Ciumbuleuit No. 6, Kota Administrasi Jakarta Selatan, MA 03935",+62 (527) 479-7170,Zakat Mal,1168714.8,2024-06-02
DEWI WINARNO,"Jl. Abdul Muis No. 6, Salatiga, KI 24609",+62-078-115-9123,Zakat Penghasilan,1138205.9931,2024-04-23
DARIJAN HARTATI,"Jalan W.R. Supratman No. 6, Tanjungpinang, SS 50265",(0997) 945-7499,Zakat Perdagangan,477675.5720000001,2023-09-01
IR. CAHYO SETIAWAN,"Jalan Pasirkoja No. 36, Tidore Kepulauan, PB 86362",(036) 452-4433,Zakat Mal,1182450.4054000003,2023-09-27
TGK. GILDA LATUPONO,"Jl. Stasiun Wonokromo No. 8, Bandung, BB 72593",083 651 1344,Zakat Pertanian,601997.6512000001,2023-05-24
OMAN IRAWAN,"Gang Dipatiukur No. 056, Tasikmalaya, KT 57627",+62 (039) 444-2296,Zakat Perdagangan,461078.7159,2023-12-07
DALIMIN HANDAYANI,"Gang Pasteur No. 394, Batu, KU 40809",+62-276-045-5486,Zakat Fitrah,71973.15950000001,2024-06-04
"AMELIA NURAINI, S.KOM","Gg. W.R. Supratman No. 4, Pekanbaru, JA 20686",+62 (848) 199 0031,Zakat Emas/Perak,893346.3275000001,2024-11-09
HJ. NATALIA SIHOTANG,"Gang Rajawali Timur No. 644, Bau-Bau, Kalimantan Barat 79724",0862994391,Zakat Pertanian,1119344.6462,2025-04-20
WARSITA WINARNO,"Jalan Rumah Sakit No. 2, Mataram, NT 70457",+62 (737) 150-4949,Zakat Emas/Perak,168129.34270000004,2025-01-31
